Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA20_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA10_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
P08240	P08240		SRPRA		404016		1.69757e+06	1.43651e+06	1.24038e+06	371011	691518	1.57611e+06		888156	941371	1.63905e+06	1.51054e+06	1.37906e+06	1.5652e+06	1.37314e+06	1.63511e+06	1.37219e+06	997754	1.12541e+06	1.42252e+06	1.68192e+06	1.04084e+06	596998	1.01085e+06	898191		
P08243	P08243		ASNS		251882	262433	305577	331885	294769	245055	349207	301860	356843	319862	321608	326005	327434	357014	411624	353424	393822	359334	368482	391199	371066	346948	362579	337405	348558	376908		
P08559	P08559		PDHA1		461001	455611	397780	463395	439834	489136	397511	337720	403786	408156	443310	437447	434084	498712	456760	441394	437404	443677	468899	408217	507759	432526	450417	498825	508185	452544		
P08574	P08574		CYC1		1.36351e+06	1.35138e+06	1.25482e+06	1.23565e+06	1.14656e+06	1.36671e+06	1.26569e+06	1.3025e+06	1.07715e+06	1.14017e+06	1.4024e+06	1.19524e+06	1.10688e+06	1.25443e+06	1.18211e+06	1.21255e+06	1.20197e+06	1.22082e+06	1.08622e+06	1.14302e+06	1.10421e+06	1.15323e+06	1.19479e+06	1.10528e+06	962535	1.16125e+06		
P08579	P08579		SNRPB2		185999	465136	417932	428093	396292	184881	454612	442266	449439	291902	433077	339064	310245	326715	409020	404456	360251	377061	396504	418603	417113	416904	299128	301225	310663	294137		
P08621	P08621		SNRNP70		2.56876e+06	1.91975e+06	1.63552e+06	1.70754e+06	1.89276e+06	2.65241e+06	1.96268e+06	1.79581e+06	1.94388e+06	2.65879e+06	1.89518e+06	2.54324e+06	2.67167e+06	2.75379e+06	2.12596e+06	2.18869e+06	2.1775e+06	2.30987e+06	2.01445e+06	2.2696e+06	2.02876e+06	2.12024e+06	2.62277e+06	2.39263e+06	2.52487e+06	2.54844e+06		
P08651	P08651		NFIC		70535.6					59532.9																						
P08670	P08670		VIM		4.88015e+06	3.90008e+06	3.64213e+06	3.85218e+06	3.84109e+06	4.69994e+06	3.85136e+06	3.81006e+06	3.8687e+06	4.13098e+06	4.0325e+06	4.22908e+06	4.32102e+06	4.13556e+06	4.15477e+06	4.1564e+06	4.21279e+06	4.15144e+06	4.12885e+06	4.13818e+06	4.2209e+06	4.05725e+06	4.17594e+06	4.1787e+06	4.11033e+06	4.19451e+06		
P08697	P08697		SERPINF2		362758	167011	192560	163036	149167	408970	186700	241347	177630	209130	212246	202802	190160	231008	391105	256620	394373	360935	315381	352547	313290	369369	172545	201171	192775	165659		
P08708	P08708		RPS17		1.27587e+06	706186	633831	701432	696267	1.23829e+06	753242	768364	750887	829821	659162	765587	835658	744483	775126	725528	775724	715554	818263	774540	762422	752299	854848	870789	900886	857476		
P08727	P08727		KRT19		935543	905187	807832	854335	916429	951113	877522	856735	842518	932088	815098	994610	978692	917286	979772	882158	932211	969153	893030	818004	936698	854942	856132	901139	873109	884167		
P08729	P08729		KRT7		5.32989e+06	4.7965e+06	4.67408e+06	4.62956e+06	4.52154e+06	4.90578e+06	4.53047e+06	4.49755e+06	4.59075e+06	5.37291e+06	4.64203e+06	5.54837e+06	5.5604e+06	5.42914e+06	5.31173e+06	5.17167e+06	5.28391e+06	5.21374e+06	5.25289e+06	5.19086e+06	5.21128e+06	5.28197e+06	5.29815e+06	5.26007e+06	5.18008e+06	5.48965e+06		
P08754	P08754		GNAI3		2.98888e+06	3.52341e+06	3.56741e+06	3.56043e+06	3.43113e+06	2.21019e+06	3.52537e+06	3.68374e+06	3.84778e+06	2.92354e+06	3.66811e+06	2.89369e+06	2.59423e+06	2.81668e+06	3.29113e+06	3.13224e+06	3.45268e+06	3.0726e+06	3.70115e+06	3.40308e+06	3.40498e+06	3.53377e+06	2.63248e+06	2.55225e+06	2.35251e+06	2.57213e+06		
P08758	P08758		ANXA5		2.29061e+06	1.91211e+06	1.6906e+06	1.73067e+06	1.6638e+06	2.17886e+06	2.03584e+06	1.93956e+06	1.96686e+06	1.90123e+06	1.90391e+06	1.89413e+06	1.92138e+06	1.96149e+06	1.80949e+06	1.85294e+06	1.84668e+06	1.83207e+06	1.92186e+06	1.93999e+06	1.85151e+06	1.8577e+06	1.97798e+06	1.94396e+06	2.00786e+06	2.01334e+06		
P08779	P08779		KRT16		721931					311380						735042			719745	523885								925551				
P08865	P08865		RPSA		2.05331e+06	2.0372e+06	2.02868e+06	2.06409e+06	1.90592e+06	1.92192e+06	1.96402e+06	1.9252e+06	1.92143e+06	2.04766e+06	1.96457e+06	1.98766e+06	2.11187e+06	2.0432e+06	1.89453e+06	1.92045e+06	1.92899e+06	1.92771e+06	1.84634e+06	1.96858e+06	1.91982e+06	1.98429e+06	2.11846e+06	2.11324e+06	2.18504e+06	2.06347e+06		
P08962	P08962		CD63		379664	65335.8		62748.6		256653	181748	63173.8			67685.9			55592.9	84269.9	73069.3	78860.5	81574	94002.8	205080	80946.9	70417.6	86199.8	67540.6	64855.2	50478.5		
P09001	P09001		MRPL3		48552	1.0623e+06			748102	55832.1		818660		288059				292241									1.15344e+06	1.07527e+06	1.05049e+06	1.03925e+06		
P09012	P09012		SNRPA		542822	720997	885229	878223	894803	609731	658704	827873	780470	655204	690951	713576	729521	745025	718204	688010	687755	691303	707668	678514	713525	687360	634715	643624	668452	635013		
P09038	P09038		FGF2		17714.8	51804.1		54139.3	54546.8	27345.3			51184.1			19250.6	11922.9	13065.6							37801.1					16842.8		
P09104	P09104		ENO2		328400	2.96909e+06	1.57825e+06		2.79775e+06	175656	2.01024e+06	2.93768e+06		1.50847e+06					3.01651e+06	1.24987e+06		1.67662e+06		1.47538e+06	2.34864e+06							
P09110	P09110		ACAA1		57732.8	511298	424211		456198	57614.8	407886		418253	311221	355718		407946	294031	291641	28424.1	361831	371965	346525			374593		322272		365022		
P09132	P09132		SRP19		21411.1	63773.4				19908.3	55390.3			64017.9									82862.3			62713.7		92538.3				
P09234	P09234		SNRPC		254555	1.08453e+06	1.01755e+06	1.0714e+06	1.04301e+06	272527	841960	922503	1.03252e+06	561306	1.09425e+06	530178	598745	568118	657293	725320	687579	648874	660235	695724	639421	643588	388866	394700	393180	378050		
P09382	P09382		LGALS1		1.47341e+06	1.01308e+06	985019	960374	940865	1.74622e+06	1.10172e+06	955669	1.02534e+06	941447	979772	1.04939e+06	1.05828e+06	983281	1.01473e+06	977230	1.02635e+06	1.02476e+06	987597	1.04108e+06	1.07551e+06	1.02919e+06	1.02952e+06	1.03538e+06	915149	1.07446e+06		
P09417	P09417		QDPR		114710	178056	190725	186194	191968	102726	129575	127876	164604	172087	213607	174370	142913	169073	199240	185578	179807	188502	186707	183913	202285	184423	146593	134202	158946	157473		
P09429	P09429		HMGB1		1.31226e+06	749816	740964	637629	608729	1.25789e+06	662656	685435	765116	737485	665921	655199	729275	676373	776651	774664	680348	746983	657372	799525	693227	739386	852325	719241	638071	714993		
P09496	P09496		CLTA		708350	756215	711475	617238	602934	683080	726259	779729	720819	652654	777738	614914	608667	616654	802724	784375	842016	852053	817301	772050	746704	801479	649196	656041	708988	641030		
P09497	P09497		CLTB		86778.6					120182																						
P09525	P09525		ANXA4		573831	728015	690001	727301	751539	505421	729138	632499	655151	512570	729937	510124	600733	542978	501481	573071	557115	580088	648903	553553	585356	559679	679456	704797	784597	686701		
P09543	P09543		CNP		679878	2.01267e+06			2.09786e+06	649563	2.65481e+06	2.25281e+06		1.84369e+06	1.99231e+06	2.07329e+06	1.88792e+06	2.00702e+06	1.70363e+06	1.97504e+06	1.87837e+06	1.83804e+06	1.83512e+06	2.00936e+06	1.958e+06	2.05693e+06	1.88628e+06	1.91022e+06	1.70767e+06	1.89754e+06		
P09622	P09622		DLD		311014	369921	333136	430137	403551	301337	317745	339518	354646	310461	397885	344215	315082	319444	321380	314884	318158	318141	340228	297726	347919	296270	289922	345568	377067	331853		
P09651	P09651		HNRNPA1		1.40537e+06	780963	864823	778645	761955	1.15428e+06	803599	757873	816659	1.15354e+06	858128	1.1085e+06	1.23034e+06	1.15188e+06	845075	789104	845607	827983	844355	802479	843108	897390	934163	886592	865183	890567		
P09661	P09661		SNRPA1		401956	367095	384442	399002	374816	394725	414875	416006	410833	439878	415918	467131	486809	427086	461793	465818	486588	449518	420017	461545	466123	458506	488431	469364	473313	491510		
P09669	P09669		COX6C		1.5858e+06	2.00276e+06	1.81936e+06	2.34388e+06	1.9795e+06	1.3474e+06	1.9661e+06	1.93921e+06	2.19718e+06	2.68766e+06	2.0369e+06	2.79681e+06	2.75123e+06	2.79742e+06	3.03023e+06	2.62712e+06	3.22217e+06	2.91061e+06	3.04223e+06	2.86449e+06	2.88238e+06	3.0246e+06	1.9795e+06	2.15042e+06	2.05546e+06	2.0396e+06		
P09874	P09874		PARP1		2.47827e+06	2.98746e+06	2.68392e+06	2.89785e+06	2.84216e+06	2.44171e+06	2.89138e+06	2.85945e+06	2.98702e+06	3.02838e+06	3.06981e+06	3.10279e+06	3.06594e+06	3.10535e+06	3.16191e+06	3.1947e+06	3.11585e+06	3.12008e+06	3.18193e+06	3.0665e+06	3.10121e+06	3.05635e+06	2.94326e+06	2.92317e+06	3.04459e+06	2.97728e+06		
P09960	P09960		LTA4H		1.93002e+06	2.66332e+06	2.41192e+06	2.66932e+06	2.47914e+06	2.30159e+06	2.37528e+06	2.43759e+06	2.64847e+06	2.15582e+06	2.34016e+06	2.3342e+06	2.50006e+06	2.65343e+06	2.37833e+06	2.26784e+06	2.39849e+06	2.24503e+06	2.40318e+06	2.4522e+06	2.3454e+06	2.21654e+06	2.35872e+06	2.60365e+06	2.72386e+06	2.60159e+06		
P09972	P09972		ALDOC		91559.5	203942	226981	158974	172068	112485	177309	159852	182962	137432	194898	167646	147492	146162	130652	135165	148771	136235	144493	114840	115950	128966	152447	147729	143484	158883		
P0C0L4	P0C0L4		C4A		273500	231368	282146	255253	293315	278756	275608	264098	246490	192942	301010	215920	272351	211084	227143	210842	238083	237565	212511	234111	218317	205140	216588	312480	222406	227135		
P0C0S5	P0C0S5		H2AZ1		1.02422e+08	7.38379e+07	7.78723e+07	7.5433e+07	7.65214e+07	1.31121e+08	7.66846e+07	7.49735e+07	7.76344e+07	8.63742e+07	7.5125e+07	8.7379e+07	9.06276e+07	8.81985e+07	9.09167e+07	8.63905e+07	8.65797e+07	8.14566e+07	8.73381e+07	8.96307e+07	8.44404e+07	8.50884e+07	9.28144e+07	9.5573e+07	9.66457e+07	9.33238e+07		
P0C7P4	P0C7P4		UQCRFS1P1		475293	748412	604586	727502	768158	521400	540589	613923	675413	517973	745412	551939	560624	590612	692867	607765	637455	617982	651184	688354	717236	701204	584143	532766	540636	618679		
P0DMM9	P0DMM9		SULT1A3		922143	663916	640353	706076	768869	891784	773943	777817	782788	627696	683270	644207	688056	746673	651326	643698	681279	685517	715582	723226	693516	726111	600365	733947	529541	768994		
P0DMV8	P0DMV8		HSPA1A		2.58053e+06	2.53037e+06	2.55994e+06	2.60789e+06	2.62547e+06	2.3948e+06	2.70899e+06	2.76768e+06	2.70684e+06	2.85546e+06	2.78823e+06	2.7493e+06	2.74006e+06	2.64218e+06	2.63376e+06	2.66263e+06	2.64273e+06	2.63833e+06	2.62623e+06	2.67792e+06	2.67723e+06	2.68711e+06	2.73039e+06	2.67939e+06	2.72744e+06	2.80881e+06		
P0DP23	P0DP23		CALM1		2.31092e+06	1.91629e+06	1.91193e+06	1.87181e+06	1.84389e+06	2.47615e+06	1.98415e+06	1.98968e+06	1.91665e+06	2.26679e+06	2.00201e+06	2.25438e+06	2.38384e+06	2.28955e+06	1.80218e+06	1.83477e+06	1.81176e+06	1.80094e+06	1.80193e+06	1.79825e+06	1.78458e+06	1.84752e+06	2.28914e+06	2.1948e+06	2.15587e+06	2.27272e+06		
P0DPB6	P0DPB6		POLR1D		75985.6	98220.5	51907	96685.4	109537	95468.2		81428.6	77237.9		87374.8	90305.5	63562.8	94119.9	62519.4	70870.2	68855.1	57543.3	69847.5		68593.7	57002			117844	96027.4		
P10155	P10155		RO60		624941	785414	576705	855548	714060	600732	957491	728600	723875	1.11539e+06	684512	1.16481e+06	1.10445e+06	1.07566e+06	964290	792847	851365	792168	856825	1.03265e+06	895337	900354	918578	794941	715705	838941		
P10253	P10253		GAA		81140.4	39364.6	43786.1	32102.5	25732.9	69398	38608	36599.7	39312.3	45182.1	42656.5	67953.6	75217	67773.9	52838.1	64958.3	49267.7	58124.3	63127.7	51158.7	63750.8	59435.6	72353.7	67212.3	54747.8	69591		
P10321	P10321		HLA-C		224689	172147	173305	147288	161933	205207	181973	180034	205177	220086	190988	196279	202905	193105	155885	182658	205188	185251	176853	179706	177393	183522	225023	216478	252687	216334		
P10398	P10398		ARAF		27197.5				74787.1	38528.2		69964					68468.7	106477	44408		51455.7	54849.9	64544.5	47112	53561.5		86796.1		82695.4			
P10412	P10412		H1-4		3.8631e+06	7.20845e+06	7.69297e+06	6.90008e+06	7.51172e+06	1.62105e+06	6.16937e+06	6.79387e+06	6.10547e+06	6.70474e+06	6.01035e+06	7.04561e+06	7.01156e+06	6.57088e+06	6.73988e+06	5.9408e+06	6.37696e+06	7.02941e+06	6.55208e+06	6.85037e+06	7.15805e+06	6.47637e+06	7.34933e+06	7.31895e+06	6.87181e+06	7.1579e+06		
P10515	P10515		DLAT		1.12103e+06	1.76864e+06	1.83679e+06	1.70742e+06	2.12284e+06	1.0331e+06	2.06594e+06	2.13579e+06	2.09861e+06	1.35306e+06	1.90147e+06	1.56698e+06	1.42456e+06	1.41377e+06	1.69112e+06	1.59827e+06	1.54987e+06	1.75886e+06	1.50974e+06	1.76853e+06	1.73326e+06	1.7484e+06	1.44126e+06	1.35172e+06	1.39695e+06	1.42512e+06		
P10586	P10586		PTPRF		38816.1					17357.9																						
P10599	P10599		TXN		5.81397e+06	4.94868e+06	4.83272e+06	4.53896e+06	4.34181e+06	4.87811e+06	4.65445e+06	4.56246e+06	4.78616e+06	6.58127e+06	4.26039e+06	6.53463e+06	6.39312e+06	5.80185e+06	5.60941e+06	5.40878e+06	5.57855e+06	5.52916e+06	5.68469e+06	5.46218e+06	5.55988e+06	5.36055e+06	5.36613e+06	5.49164e+06	5.25904e+06	5.78746e+06		
P10606	P10606		COX5B		617050	697057	617537	664281	668240	550189	695676	677028	719704	601601	683493	596203	593641	612658	580450	570650	598216	550180	607229	573507	562115	576984	697817	685295	689636	672177		
P10619	P10619		CTSA		220414	182835	142636	157153	179658	108794	199920	129089	167617	232248	186679	227273	256797	242730	184679	186237	197330	185621	172016	213897	182200	176000	202048	178331	175429	183419		
P10620	P10620		MGST1		224753	188933	203287	207171	214692	252385	174191	211772	175815	147640	178241	153397	161030	137915	247900	235907	198918	252282	281538	213745	227806	241212	250603	264751	228746	245962		
P10643	P10643		C7		82888.4					84765									41188.4		56079.8				49888.9			80724.8				
P10644	P10644		PRKAR1A		107479	488380				105245	393114	459973		87168.2		91868.6	73789	133440	102268	122981	71664.7		65725.5	86881.1		107347	195608	174447	159144	212961		
P10768	P10768		ESD		211042	50120.4				204916	47563.2			51704.1	40505.8	66580.5	44179.8	57304.4	61523.8	73990.8	43565.2	50370.7	56732.9	86663.7	44258.5	47712	55933	79356.1	54856.5	69428.4		
P10809	P10809		HSPD1		3.06902e+06	3.27512e+06	3.21493e+06	3.21742e+06	3.17769e+06	3.03341e+06	2.93541e+06	3.0304e+06	3.0859e+06	3.26386e+06	3.0007e+06	3.25837e+06	3.27093e+06	3.30507e+06	3.32064e+06	3.31933e+06	3.32953e+06	3.31224e+06	3.33287e+06	3.30753e+06	3.18456e+06	3.26141e+06	2.99168e+06	3.11798e+06	3.08022e+06	3.06619e+06		
P10909	P10909		CLU		213023	177365	206683	156555	140741	172853	161893	159804	164597	213744	168364	244938	197940	203544	182903	170048	153749	175187	166785	156870	147887	127348	164729	204080	172290	224102		
P11021	P11021		HSPA5		8.79587e+06	8.44454e+06	8.31874e+06	8.27175e+06	7.75495e+06	8.24765e+06	8.09622e+06	8.12849e+06	7.92898e+06	9.04358e+06	8.15217e+06	9.03917e+06	9.17988e+06	9.09431e+06	8.7112e+06	8.6437e+06	8.48142e+06	8.56379e+06	8.60298e+06	8.60439e+06	8.7072e+06	8.73959e+06	8.54091e+06	8.8336e+06	8.95978e+06	9.04155e+06		
P11117	P11117		ACP2		41865.1	159372	164559	168888		28159.8	174076	170569		177674	181785	205163	176569	204781	159839	157668	143494	164236	153383	154950	152473	136676	201782	175209	194216	188997		
P11142	P11142		HSPA8		5.49712e+06	4.26162e+06	4.22952e+06	4.17534e+06	3.89655e+06	4.87133e+06	4.41528e+06	4.6772e+06	4.31401e+06	4.62018e+06	4.32328e+06	4.72638e+06	4.62945e+06	4.57951e+06	4.45503e+06	4.34539e+06	4.52667e+06	4.4827e+06	4.61364e+06	4.59985e+06	4.33848e+06	4.53114e+06	5.08768e+06	5.00767e+06	4.81534e+06	5.17216e+06		
P11166	P11166		SLC2A1		151384	280717	301790	295648	288459	187760	290206	298423	328318	285373	299163	311432	257708	270695	324459	235244	319934	275251	253855	251904	306420	281361	320993	317574	307151	326947		
P11169	P11169		SLC2A3		17583.4				108347	18136.9				73797.2				76693.7											82628.5			
P11172	P11172		UMPS		330196	418256	402634	403861	408679	291943	411799	407980	407512	319979	476145	363591	336000	303461	337387	360419	325479	331621	304553	342872	334153	372018	245405	206850	246720	259616		
P11177	P11177		PDHB		548116	595474	564145	617459	620843	493684	596502	563405	636077	528820	604907	513832	580981	582026	565996	648429	668998	651049	679300	570258	669328	600760	655612	708985	736928	689106		
P11182	P11182		DBT		722160					675004						1.81549e+06	2.09734e+06	2.48342e+06		2.54888e+06				3.84905e+06			1.58318e+06			1.61465e+06		
P11216	P11216		PYGB		174324	417107	364581	434518	479432	78314.3	366563	430908	417096	352398	427864	354061	349260	369028	400574	393476	389223	347337	425659	403735	430626	398507	300785	342668	319513	337502		
P11233	P11233		RALA		297176	365538		342756	307591	281760	329830	348399	293445	250750	325827	223020	270541	324528	215210	278276	254931	286963	244151	158172	244744	252229	388781	375063	434419	323603		
P11279	P11279		LAMP1		1.12423e+06	1.15994e+06	1.20083e+06	1.08864e+06	1.15823e+06	975895	1.10138e+06	1.09922e+06	1.15418e+06	995394	1.25948e+06	1.01209e+06	1.11503e+06	1.11729e+06	1.13417e+06	1.13324e+06	1.18941e+06	1.21981e+06	1.18477e+06	1.14524e+06	1.15099e+06	1.20343e+06	1.12227e+06	1.09536e+06	1.11617e+06	1.08257e+06		
P11310	P11310		ACADM		399153	1.0569e+06	876634	986564	962199	256832	989592	1.00886e+06	900858	1.00249e+06	1.00804e+06	958535	775921	922691	918416	929987	949405	916036	841999	954269	915885	935444	825529	977114	978318	1.0106e+06		
P11387	P11387		TOP1		505567	473154	457105	484550	447536	500346	474705	482503	465839	489749	415765	499349	496946	492029	419670	391101	440161	458833	447797	442060	423733	411824	498694	423803	522885	492962		
P11388	P11388		TOP2A		1.3614e+06	1.36937e+06	1.29207e+06	1.29378e+06	1.25074e+06	1.35737e+06	1.35914e+06	1.34236e+06	1.33701e+06	1.28065e+06	1.37663e+06	1.28572e+06	1.29346e+06	1.24618e+06	1.37648e+06	1.251e+06	1.35359e+06	1.28994e+06	1.25132e+06	1.28447e+06	1.33419e+06	1.31156e+06	1.26302e+06	1.31109e+06	1.22512e+06	1.18516e+06		
P11413	P11413		G6PD		1.26113e+06	1.11657e+06	1.08248e+06	1.06718e+06	1.07616e+06	1.32559e+06	1.07598e+06	1.05477e+06	1.05492e+06	1.11696e+06	1.1838e+06	1.15191e+06	1.17896e+06	1.17229e+06	1.14091e+06	1.15042e+06	1.12437e+06	1.12917e+06	1.15028e+06	1.10209e+06	1.1768e+06	1.10512e+06	1.18299e+06	1.15921e+06	1.21664e+06	1.22606e+06		
P11498	P11498		PC		597629	722228	747903	698050	714336	579741	693041	703767	764684	620490	690171	597050	593331	592860	670796	612765	651689	675377	621045	677831	662032	640521	694461	648296	722697	657942		
P11532	P11532		DMD		266114					256325									811476										1.20789e+06			
P11586	P11586		MTHFD1		985773	1.04687e+06	964773	1.02021e+06	1.03039e+06	893633	1.03562e+06	1.08986e+06	1.08582e+06	1.05988e+06	1.04556e+06	1.07508e+06	1.10568e+06	1.06187e+06	976212	991896	980781	971383	1.00222e+06	960613	976576	986233	1.05765e+06	1.04364e+06	1.07585e+06	1.04979e+06		
P11717	P11717		IGF2R		999424		1.55588e+06		2.98568e+06	961809			2.22363e+06	1.31726e+06		1.29464e+06	1.70632e+06	1.48334e+06	1.57408e+06	1.29979e+06	1.56345e+06		1.88869e+06	1.46127e+06	1.57364e+06	1.43518e+06	1.50908e+06	1.93513e+06	1.28367e+06	1.26242e+06		
P11766	P11766		ADH5		1.35253e+06	1.98022e+06	1.75643e+06	1.92645e+06	1.80913e+06	1.06633e+06	1.79531e+06	1.87872e+06	1.9441e+06	1.72722e+06	1.72062e+06	1.65115e+06	1.84975e+06	1.63116e+06	2.10864e+06	2.01498e+06	2.12373e+06	2.21936e+06	2.02677e+06	2.00625e+06	2.16126e+06	2.10986e+06	2.2403e+06	2.19834e+06	2.22117e+06	2.21145e+06		
P11908	P11908		PRPS2		111172	139286	207660	100662	148063	104529	126896	93559.7	124124	91395.7	154170	157573	119265	120507	148950	141605	130999	141604	119844	157917	149614	142368	150837	159573	170856	152222		
P11940	P11940		PABPC1		1.24174e+06	936187	918537	963885	929841	1.25297e+06	912072	932112	965732	938844	988510	949247	993612	1.03167e+06	994652	1.04036e+06	1.0239e+06	1.05464e+06	1.06155e+06	969742	1.07835e+06	1.02532e+06	1.02811e+06	1.06492e+06	1.06705e+06	1.04624e+06		
P12004	P12004		PCNA		2.91816e+06	2.81387e+06	2.77757e+06	2.81383e+06	2.80301e+06	2.81184e+06	2.84377e+06	2.85717e+06	2.82871e+06	3.03822e+06	2.87399e+06	3.0851e+06	3.17805e+06	3.01875e+06	3.00849e+06	2.92208e+06	2.97009e+06	2.97234e+06	2.94114e+06	2.95125e+06	2.90059e+06	2.87985e+06	2.93394e+06	2.87444e+06	2.85786e+06	2.90829e+06		
P12081	P12081		HARS		2.8249e+06	3.07182e+06	3.05546e+06	2.95074e+06	3.13858e+06	2.53778e+06	2.9453e+06	3.08978e+06	2.98512e+06	3.19473e+06	3.07016e+06	3.13031e+06	3.15422e+06	3.07592e+06	3.18988e+06	3.12708e+06	3.08428e+06	3.12626e+06	3.11452e+06	3.04124e+06	3.12245e+06	3.11635e+06	2.90557e+06	2.75865e+06	2.95828e+06	2.87423e+06		
P12109	P12109		COL6A1		40405.1					40060.4																						
P12235	P12235		SLC25A4		108327	50454.6		61869.1		108526	53170.1	51015.4		133875	50721.8	137937	125252	132124	119783	103781	107046	109782	94071.6	119381	112275	94075.9	164133	129360	155288	156131		
P12236	P12236		SLC25A6		438292	547501	518822	566105	568731	382344	473604	452197	506422	644949	525671	696367	682835	717659	649114	639775	678609	678822	653795	696641	688351	650771	507292	480804	530350	520719		
