Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
P23193	P23193		TCEA1		92551.7	92856.2	99074.4	93246.9	89781.6	68851.5	89942	71335.2	88257.5	64901.4	97743.9	65457.4	68823.8	73637.3	71208.7	72113
P23246	P23246		SFPQ		1.28645e+06	1.28676e+06	1.39267e+06	1.32048e+06	1.28779e+06	761943	1.34606e+06	750429	1.3126e+06	805081	1.34585e+06	744774	788508	774606	821076	783726
P23258	P23258		TUBG1		28234.2	24681.9	22674.1	20220.3	26105.6	12390.7	18450.5	17761.1	22128.8	13071.3	24494.7	11640.6	15094	23441.9	12936.1	11548.6
P23284	P23284		PPIB		342965	354845	346163	343501	367932	931648	346237	924910	366603	968955	362100	946409	988801	964388	969894	992313
P23381	P23381		WARS1		122862	124200	130865	126747	123692	104815	127110	111070	128349	112239	133013	111419	107648	107867	109245	107174
P23396	P23396		RPS3		702270	698741	718563	700403	707540	790503	734856	784785	735899	835460	720946	787131	803445	820638	807330	827645
P23526	P23526		AHCY		423065	404757	443050	393776	407539	350618	450886	340500	453693	366391	442029	336613	387732	394973	364910	382363
P23528	P23528		CFL1		1.53651e+06	1.52274e+06	1.44463e+06	1.59223e+06	1.45289e+06	2.69137e+06	1.64349e+06	2.51998e+06	1.59812e+06	2.98264e+06	1.49027e+06	2.50767e+06	2.69969e+06	2.90443e+06	2.703e+06	2.72344e+06
P23588	P23588		EIF4B		234202	231432	224807	233704	244403	278918	222732	269362	218915	270710	233675	272935	281929	287311	282929	272233
P23786	P23786		CPT2		12314	4778.66	8087.32	10610.4	9042.7	22378.3		22620.2	6774.93	26256	8117.82	23196.7	24581.1	25683.4	17924.1	19981.8
P23919	P23919		DTYMK		46200.8	49326.3	49529.8	45570.5	42404	44852.3	43874.2	45967.9	44819.9	47916.5	49010.1	42509.4	44168.2	44631.3	46740.4	49454.2
P23921	P23921		RRM1		87046.8	86237.8	81602	90312.3	84982.2	79210.6	88294.7	75848.2	87269.9	73799.9	92400	74657.3	80890.6	80691.8	86117.5	83678.3
P24534	P24534		EEF1B2		357983	345291	370920	360716	359237	262330	367899	263495	376323	268401	410489	285992	282880	299082	299061	298166
P24539	P24539		ATP5PB		34528	32136	35734.3	34227.3	39076.4	72856.6	36990.4	66160.2	39505.8	73816.5	39691.1	68418.2	76551.5	77055.6	73024.7	77601.7
P24666	P24666		ACP1		171747	162979	183939	173050	182199	215295	177903	219931	182038	217301	173031	225268	208084	208139	196650	207889
P24752	P24752		ACAT1		135192	138613	133387	135734	126632	138971	127453	135806	131517	138003	128241	134724	132046	128808	125940	127387
P24928	P24928		POLR2A		388515	383166	398433	398480	361307	434886	406232	438400	394466	354312	394956	478035	343528	380752	489255	429369
P24941	P24941		CDK2		153577	158219	158255	145783	164716	94031.1	145476	83726.4	156476	99875.2	158421	96616.8	91222.7	96458.7	91862.6	93964.2
P25205	P25205		MCM3		186698	179268	192851	178198	173103	132606	198436	130404	187743	131079	184166	123500	141093	140865	143341	140132
P25398	P25398		RPS12		325521	313615	321714	331260	301701	282394	321662	268066	314596	291747	312183	263005	288079	279042	284312	292518
P25685	P25685		DNAJB1		44527.2	42833.6	41817.1	45026.9	42064.1	40596.4	49580.4	36332.7	46592.5	29617.2	42395.1	27731.3	32356.2	34087.6	32845.2	30313.2
P25705	P25705		ATP5F1A		628680	624832	597932	628112	621132	910764	609716	900994	603990	927265	622253	893527	912914	952706	921494	944794
P25786	P25786		PSMA1		370237	377543	383705	370152	371616	321836	389887	306171	376606	317923	372698	318225	329283	341790	328800	344638
P25787	P25787		PSMA2		109744	107244	107294	110709	100638	141583	111770	144417	104864	135257	115314	140487	126786	125467	136234	137016
P25788	P25788		PSMA3		219488	214022	211933	223067	213183	170830	227666	176271	206332	175958	211301	169196	182228	180361	181017	176892
P25789	P25789		PSMA4		320507	316691	303764	324689	340417	268364	318630	285014	329349	294846	325572	282511	289059	278482	274595	275469
P25815	P25815		S100P		18059.7	28482	30336.3	25436.1	32764.5	586256	23616	643398	18039	593699	30153.9	630197	629391	609149	630404	633223
P26006	P26006		ITGA3							48743.3		49956.2		51935.6		48687.3	51302	50716.4	50749.4	52162.7
P26038	P26038		MSN		568401	555058	640171	566484	552344	650707	599688	623362	592154	605830	584975	617204	700082	667399	696609	686690
P26196	P26196		DDX6		125513	122782	145285	120866	134372	95892.7	129826	97426	132283	96611.8	120443	79880.9	88063.2	98738.7	80316	82288.2
P26368	P26368		U2AF2		210086	211802	203744	210499	217933	153541	200866	154422	210506	136907	202140	146920	149494	165710	159564	144722
P26373	P26373		RPL13		372899	363931	370766	370098	380913	711063	370663	711193	378691	699858	386857	714718	737770	730536	766690	730687
P26440	P26440		IVD							18643.6		16803.3		17948.7		19280.9	13799.6	20171	21303.9	18891.9
P26447	P26447		S100A4		3.48974e+06	1.01975e+06	906031	2.57811e+06	1.7058e+06	1.42325e+07		8.0397e+06	1.14139e+06	1.30941e+07	2.09321e+06	1.36244e+07	8.64626e+06	1.40725e+07	8.36726e+06	1.23899e+07
P26583	P26583		HMGB2		228660	210388	224662	204057	206497	122418	218556	126321	218072	124845	227043	128187	123591	114071	135881	121026
P26599	P26599		PTBP1		354416	323683	333482	351214	340302	241490	312581	251533	316342	244649	321222	245845	241799	252182	249129	244933
P26639	P26639		TARS1		284862	269950	295421	277894	283924	385597	291038	378345	293908	367536	297126	381002	410557	382147	409003	399008
P26640	P26640		VARS1		124437	120032	123677	116990	116111	47483.7	118809	54965.1	122716	52834.7	121008	52638.4	53205.7	50599.2	54411.2	55600.9
P26641	P26641		EEF1G		742179	734655	719218	731957	729748	974813	724266	961301	722818	1.00029e+06	703021	971627	981313	978842	985489	969366
P26885	P26885		FKBP2		48767.2	46867.5	43476.7	51872.6	50552.9	97513	48145.8	93463.8	50815.7	95908.1	46952.3	86589.2	95143.2	101450	83895.7	89652
P27105	P27105		STOM				3607.07			37005.6		39365.3		40569.4	5540.68	38600.7	20981.3	22775.6	22004.6	23125.4
P27348	P27348		YWHAQ		621056	574970	602432	590366	617572	765606	578013	834854	564137	815858	562230	853393	791882	739455	806570	874986
P27361	P27361		MAPK3		40754.1	44356.4	42392	36812.4	43726.1	20472.8	27187.7	17397.8	31565.7	20072.1	30654	19696.6	18238.2	16769.9	16838.2	9131.24
P27635	P27635		RPL10		329294	303709	300783	321001	310955	322451	283216	317560	292563	322006	287265	321401	336186	339175	341771	311355
P27694	P27694		RPA1		61265	60826.7	65718.8	63945.9	63780.8	73523.2	61075.4	71799.1	64792.5	73314.4	66695.3	75874.8	71833	74638.7	83387.1	78831.5
P27695	P27695		APEX1		106239	107594	104363	105941	100197	251476	97258.7	261449	101902	259597	99619.3	241604	253106	255012	247551	255865
P27708	P27708		CAD		114572	115086	113500	114756	113374	137425	111438	140081	113658	142019	108752	134698	132069	139493	128118	139188
P27797	P27797		CALR		236826	255472	238688	232886	242593	542668	241890	584216	232758	590697	258187	484480	539843	531334	562759	542422
P27816	P27816		MAP4		100416	99276.9	97966.2	96912.7	94784	92205.6	92081.4	88923.3	94379.9	86642.1	90658.5	87054.2	91388.3	91563.8	91112.5	93403.9
P27824	P27824		CANX		43679.1	38904.6	57295.8	45256.9	41657.7	334013	58535.6	317250	54845.8	333013	51857.4	323577	355634	342768	320422	359108
P28062	P28062		PSMB8							22362.9		22266.9		18719.7		26743.7	20231.7	19199.4	23495.1	24192.7
P28066	P28066		PSMA5		261015	258892	248015	239395	242213	193316	244505	163017	220153	189087	212292	174460	188152	180695	192113	188964
P28070	P28070		PSMB4		137714	123037	101196	131578	128534	151003	103580	156258	109380	161016	104410	151887	113752	114908	123717	123303
P28072	P28072		PSMB6		249229	250430	240793	253908	252538	303601	255815	311279	242650	294599	232829	308414	302323	304577	301100	322443
P28074	P28074		PSMB5		143559	145712	140751	141468	137018	119311	141094	103513	142197	113821	145668	109417	115493	122560	118781	110260
P28331	P28331		NDUFS1		43898.5	43541.8	41886.4	44789.4	48641.1	50207.3	44978.9	52039.4	45439.2	48928.8	46565.7	51844	48957.9	52611.6	51462.8	50630.2
P28340	P28340		POLD1		224389	171699	217364	166752	181034	209005	225751	264367	224795	236654	203507	235197	250359	210816	219881	223356
P28482	P28482		MAPK1		239984	225358	232132	235614	232495	85940.3	233714	73316.1	247493	73298.9	231969	78387.2	85916.8	80297.3	88898.1	92967.5
P28838	P28838		LAP3		120592	123430	121066	122908	123650	39447.9	118093	38479.6	123585	36044.9	120617	39408.8	40709	38443.6	35732	38324.7
P29401	P29401		TKT		457438	445231	461216	438398	447901	1.3592e+06	454868	1.24929e+06	450661	1.33133e+06	454036	1.31935e+06	1.28735e+06	1.38123e+06	1.34977e+06	1.37076e+06
P29590	P29590		PML		29070.1	27243	25857.3	30632.4	31138.9	22549.7	27834.7	22344.5	26094.9	17526.8	27368	21444.7	24413.7	26637.9	20322.1	18215.6
P29692	P29692		EEF1D		770259	746558	732295	760430	783757	773660	720876	778391	727690	779590	729815	791508	780090	801373	761862	796822
P30040	P30040		ERP29		44460.1	45118.5	48515.1	53330.7	47229.1	116598	48649.3	124210	50121.9	115827	46613.6	120449	129753	117717	130104	125955
P30041	P30041		PRDX6		1.28568e+06	1.30988e+06	1.26911e+06	1.32456e+06	1.25924e+06	1.43867e+06	1.29381e+06	1.5159e+06	1.29697e+06	1.50954e+06	1.23482e+06	1.43059e+06	1.50674e+06	1.39583e+06	1.47703e+06	1.50843e+06
P30043	P30043		BLVRB		468440	443387	423159	429265	437666	100945	378081	109625	386774	101598	371789	98209.8	100496	100801	91607.9	102229
P30044	P30044		PRDX5		131998	135150	130053	134502	142003	800489	140138	770529	144597	828062	141963	746584	777749	725392	774368	708783
P30048	P30048		PRDX3		212184	213403	209010	217592	217929	529344	197486	500648	199182	524412	199847	512119	506029	510895	499297	511399
P30049	P30049		ATP5F1D		225806	231822	226023	221114	222766	212834	233073	214531	223685	221008	222701	206787	223694	233256	234376	222599
P30050	P30050		RPL12		473377	460359	465291	503240	452610	539352	501528	496681	447599	493741	426689	458469	460789	531871	467107	479496
P30084	P30084		ECHS1		71664.2	76233.5	82219.1	77231.5	76180.2	187147	76651	190183	66200.7	200409	75271	189864	170734	186287	166686	172399
P30085	P30085		CMPK1		137185	114916	136828	124343	121087	86626.6	135950	89400.6	124815	82717.5	121526	83328.3	81982.2	77605.7	76281	73800.8
P30086	P30086		PEBP1		295902	270449	295824	280651	290867	449525	273489	421394	291697	440051	292458	438158	446205	447962	441800	441374
P30101	P30101		PDIA3		306506	298852	298980	310818	300595	631998	299686	654382	303276	634109	309515	639896	665432	609444	693900	657800
P30153	P30153		PPP2R1A		285231	289174	280562	279463	281724	249748	273767	233249	289509	243525	281940	231104	253571	246722	257836	243341
P30154	P30154		PPP2R1B		27729.7	22050.3	26347.6	28401.1	21493		26955.2		26689.2		24865				46761.1	
P30260	P30260		CDC27		28584.9	27464	28158	20787.5	22133.9	27951.5	31048.4	22262.1	25640.7	24263.8	24824.6	34920.5	26369	32647.6	24894	31832.2
P30419	P30419		NMT1		142408	138599	126900	134707	137389	139887	136796	136659	133647	145669	130024	146999	133010	132777	127017	128884
P30520	P30520		ADSS2		68209.4	71829.3	67748.5	66668.1	66271.8	73041.1	67740.8	67936.6	68915.4	70612.8	69299.4	74347	69261.5	67275.8	62520	70283.2
P30566	P30566		ADSL		150664	132489	130268	140616	138253	110690	130606	117238	136291	110379	136821	113388	118777	111971	125354	113648
P30613	P30613		PKLR		91047	90224.9	84841	92169.5	87723.5		86567.8		84402.6		83567.1					
P30626	P30626		SRI		82387.1	75240.9	80978.2	76897.9	76116.1	48056.4	82995.5	52629.7	83616.2	40891.4	75565.8	53201.1	59775.1	57286.6	54665.4	59938.5
P30740	P30740		SERPINB1		54145.3	50052.2	48406.8	53780.9	46393.2	114691	46783.1	110477	45491.2	109507	46723.5	108396	111084	101512	109060	110957
P30837	P30837		ALDH1B1		44161.8	40781.4	66241.4	46532.4	31310.8	39608.6	60891.4	34999	61002.4	34155.3	54020.6	36308.2	45132.6	49350.6	43341.2	67690.5
P31040	P31040		SDHA		119303	120067	112927	119759	119341	99190.9	113134	102747	116717	105724	115535	100228	103422	102514	108552	104641
P31153	P31153		MAT2A		149191	146157	145791	144853	140305	101797	148379	105099	149602	111666	135305	113326	114155	113447	115515	111926
P31327	P31327		CPS1		79160.5		113282	120572	98369.2	627326	118951	616988	109737	614911	119510	619052	629548	608546	640175	652427
P31350	P31350		RRM2		50346.3	50593.7	42886.5	46078.1	49777.6	50349.7	36803.4	60645.1	48471.1	47082.4	46460.6	56171.2	47457.4	54025.8	52166.9	51339.5
P31483	P31483		TIA1		43066.9	41681.7	41005.4	42217.2	42045.1	28427.2	41531.7	28455.9	40394.4	30283.1	37822.7	26245.4		27825.3	29565.7	28187.6
P31689	P31689		DNAJA1		174191	172161	164232	177297	164344	110933	171848	133011	160067	130590	171036	115457	123163	124110	125420	124860
P31930	P31930		UQCRC1		148353	145123	139346	146198	136878	156907	124515	165867	132958	168425	129747	171687	154302	155730	158353	160362
P31939	P31939		ATIC		259809	249665	264755	258839	245372	172582	268888	169541	260656	165997	252815	171201	176127	176642	177537	174195
P31942	P31942		HNRNPH3		201262	196211	203221	199932	198342	142112	202843	137488	192561	140618	190899	137280	139256	134518	141446	143884
P31943	P31943		HNRNPH1		624136	604966	660212	619140	614521	510268	638410	499979	616362	467551	624137	515238	495124	508252	528268	572753
P31946	P31946		YWHAB		312281	298060	280141	315713	279305	417343	289915	429496	271437	371691	286198	402809	457421	420494	433684	451577
P31947	P31947		SFN							700627		742947		714036		705527	766634	731954	700485	754037
P31948	P31948		STIP1		618236	608975	615985	621781	618627	349073	632537	350626	641846	366550	628710	352477	370634	347395	365120	371365
P31949	P31949		S100A11		253390	259552	255256	253109	256080	1.5654e+06	251950	1.61704e+06	258656	1.58887e+06	261325	1.52259e+06	1.59104e+06	1.86085e+06	1.60803e+06	1.64058e+06
P32004	P32004		L1CAM							69486.5		69815.6		70114.1		75547.4	72126.3	67681.5	65048.1	67116.8
P32119	P32119		PRDX2		2.56881e+06	2.58177e+06	2.54033e+06	2.59195e+06	2.63214e+06	2.67508e+06	2.53446e+06	2.71601e+06	2.64627e+06	2.70462e+06	2.55085e+06	2.66923e+06	2.65051e+06	2.72349e+06	2.90088e+06	2.74204e+06
P32320	P32320		CDA							21281		14182.3		9565.28		16795.7	13013.8	13817.3	17716.2	20547.6
P32322	P32322		PYCR1		204559	193387	203814	202004	177340	92905.3	214113	82628.1	194079	89789.1	197226	106767	77647.4	85063.7	77581.1	67628.2
P32929	P32929		CTH		46165.1	50137.5	46322.6	45059.5	44749.5	14734.9	37339.5	19091.3	41997.3	15177.7	41371.1	20943.8	17719.9	18550.3	14187.3	14213.1
P32969	P32969		RPL9P9		226164	196056	302081	211444	208961	355511	275800	347846	251606	366525	300944	361115	396100	401842	384129	366950
P33176	P33176		KIF5B		102296	107427	108803	103911	103409	89119.2	102851	91154.2	107645	88881	102337	84509.3	93027.2	87584	92634.5	95010.5
P33240	P33240		CSTF2		69748.1	66338.2	67446.3	71882.3	73983.6	44210	62766.8	44611.6	64806.2	45733.9	63729.3	42152	45727.2	42064.3	46613.5	43493.2
P33316	P33316		DUT		242591	235291	237993	239345	232235	175654	233064	182221	239700	181116	228772	177814	199152	194148	202928	190557
P33991	P33991		MCM4		265860	258438	268975	256655	258395	163397	282933	159000	271760	173328	281597	173950	166763	170483	165306	167580
P33992	P33992		MCM5		104707	98740.3	113150	98561.1	102999	89995.4	104862	85640.2	109471	93346.9	112363	88214.4	95569.5	98302.2	98892.6	93927
P33993	P33993		MCM7		222895	221403	215005	230977	215732	132416	216642	137602	220761	129086	225272	129613	134214	138863	137698	135494
P34896	P34896		SHMT1		2345.08				2478.49	13531		13640.6		12071.3	1533.69	14127.1	13504.5	11333	10471.8	12959.4
P34897	P34897		SHMT2		184330	182424	187617	183740	186205	289377	179892	275632	184558	294263	184283	301764	295754	288309	299692	284859
P34931	P34931		HSPA1L		96546.2	70375.1	67564.5	69733.6			39056.8		40271.5		42212.1					
P34932	P34932		HSPA4		563852	544800	589086	576690	528964	361026	574203	374344	566206	359457	560427	362098	368639	375378	383602	366877
P35219	P35219		CA8		11468.5	9152.26	9618.66	11865.5	12569.7		9437.15		7666.19		8196.72					
P35232	P35232		PHB1		321729	316910	314652	316164	324152	251813	309052	246469	317004	255688	320163	246622	249142	246738	254994	251411
P35237	P35237		SERPINB6		109585	96328.1	108983	105197	94715.1	181420	95114.4	194068	99468.2	179352	103069	163536	205439	202108	219445	205562
P35241	P35241		RDX		61460.3	59422.1	63513	66476.8	58445.7	140514	62066.8	146297	58590.7	141938	64559.5	145976	155251	148776	142786	148677
P35244	P35244		RPA3		50749.9	55762.1	57082.8	59285.4	50830.8	33786.1	61236.7	39364.7	53773.3	29902.7	49132.3	36630	36319.6	36734.1	38098.7	29835.9
P35249	P35249		RFC4		65476.3	65995.5	68551.1	65259.1	65914.4	44816.3	73961	45009.4	67545.1	44694.7	68112.2	36863.2	39460.2	45185.1	45116.6	43458.1
P35250	P35250		RFC2		71740.2	75007.4	75931.2	72964.9	76225.3	56425.3	76035	61098.9	79542	59306.6	77189	67469.2	64842.4	56112.9	68346.4	60518.6
P35268	P35268		RPL22		987292	1.01428e+06	1.00893e+06	1.00838e+06	971153	980760	958856	978224	995163	996785	964972	1.04283e+06	979045	989575	952918	984648
P35270	P35270		SPR		8287.47	13465.6	5492.07	9954.02	10534.2	50758.8	10574.8	52781.3	14828.4	44298.8	11799.8	48275.6	52954.9	56242.2	52654.3	52176.3
P35520	P35520		CBS		189282	187031	184969	196030	185532	63829.2	185161	62304.5	187938	61844.6	188397	61041.1	63709.5	59479.2	72179.2	62225.2
P35579	P35579		MYH9		177852	170421	180045	172598	174937	292023	174142	295586	171450	299913	185455	307503	306383	295974	292395	312730
P35580	P35580		MYH10		138491	134703	141625	142620	149061		131116	117146	132246	112865	129812	87270	132726	126970	81431.8	
P35606	P35606		COPB2		39867	36756.8	37848.7	34300.8	36551.3	39442.3	44715.4	35104.3	44080.5	43943.7	40979.4	36504	38355.7	42689.9	42474.6	42802.2
P35610	P35610		SOAT1							25168.9		25776.9		22446.6		23298	26043.8	20914.9	23209.1	21913
P35611	P35611		ADD1		21137	20752.6	20700.8	19120.3	17963.8		20279.2		22538		24945.1					
P35613	P35613		BSG		135004	123636	189389	134590	118921	303406	152706	290681	148170	272737	131834	276234	358749	386349	345685	371008
P35637	P35637		FUS		872206	680721	1.00521e+06	797595	558667	371264	1.1775e+06	443176	1.06963e+06	330935	1.1851e+06	543841	657098	718872	663259	695477
P35658	P35658		NUP214		257786	267345	260125	269230	250332	130846	256085	124698	253551	129639	257148	99668.2	114545	131875	140392	122008
P35659	P35659		DEK		131468	124236	128628	136227	125919	160354	117809	155195	127835	151973	131955	148566	150378	158081	156072	137690
P35754	P35754		GLRX			6487.22				27335.1		28575.7		28187.2	9925.33	30455.4	32670.7	29770.5	33081.5	27906
P35998	P35998		PSMC2		263033	260991	268510	267624	264375	154748	265141	156154	265575	157106	266727	160379	152205	153952	150512	155148
P36404	P36404		ARL2		21788.5	21231.5	22131.4	21231.3	19250.4	11067.7	22805.5	11054.2	23499.3	8175.33	24699.5	11612.4	11719.2	10655.5	12653.6	7864.55
P36405	P36405		ARL3						4964.51	23038.4		22643	7208.5	20011.9	6686.3	25359	20767.9	22909.1	24916.5	18255.4
P36507	P36507		MAP2K2		15213.6	14409	14101.6	15526.6	15802.3	25453.2	15991.2	22869.5	14294.6	20780.5	15208.9	20792.2	18902.3	22385.4	23675	25611.3
P36542	P36542		ATP5F1C		198791	192869	191385	199683	186831	220568	194231	218959	179403	228146	198716	230375	233353	205464	248046	231718
P36543	P36543		ATP6V1E1		32809.9	28407.1	38143.8	31542.4	26885.5	13487.9	26594.1	8854.95	28957.2	19264	39891		14762.6	13376.9	18095.8	24207.8
P36551	P36551		CPOX		102110	104348	109794	107017	106487		112753	69539.1	105903	71744.1	104574				40192.5	98754.1
P36578	P36578		RPL4		483303	455262	504395	475259	492336	671949	466896	671638	463799	643338	458679	729695	675831	645273	636528	658463
P36639	P36639		NUDT1		9609.02	10289	10455.5	12779.2	11850.4	8680.42	10071.4	10779	10890.2	9134.21	11782.7	9086.97	11891.9	12662.4	10281.6	10474.4
P36776	P36776		LONP1		236788	229485	241599	217601	233292	246585	224364	210983	235031	219181	214875	203643	229243	228535	215313	195245
P36871	P36871		PGM1							75581.1		76743.4		76320.3		68482.9	74248.7	73336.5	82467.6	77322.6
P36873	P36873		PPP1CC		73362.8	66089.6	68870.8	68842.3	69082.3	30581.6	66913.7	30553.4	77302.1	27893.9	79778.7	32456.9	34369.7	29217	31831.4	31498.1
P36952	P36952		SERPINB5							286608		299886		303903		303311	283312	287513	292002	284245
P36955	P36955		SERPINF1		5485.77	10716.9	12100	16262.8	21802.8	99976	7359.96	109675		100008	13183.7	106520	109862	103489	100492	105975
P36957	P36957		DLST		54178.1	61115.7	57222.4	62158.4	65962.8	108523	61561.3	112714	62304.2	112048	60518.2	122783	116213	115762	109529	115640
P36969	P36969		GPX4		25117.5	25261.7	27938.6	25513.4	26874	18678	25603	18468.2	25636.6	19412	24969.8	15969	21414.6	21815.1	19940.9	22952.7
P37108	P37108		SRP14		152246	160187	159780	158364	157205	183952	160248	172258	178600	171391	170611	166678	176779	210148	169687	185054
P37198	P37198		NUP62		23841	25362.6	26848.4	25181.2	24145.2	14139	23681.3	15994.3	26386.9	12987.5	21655.5	11994.6	19091.2	11488.7	15173.4	15496.2
P37235	P37235		HPCAL1		14050.4	15074.2	11471.4	17289.1	13552.4	20139.8	14969.2	19148.3	15863.7	20754	15471.1	20489.7	24830.1	18038	27352.6	21991.6
P37802	P37802		TAGLN2		483783	483669	507798	487131	523924	475916	509348	454149	524938	455842	507238	459085	505824	501079	501817	493930
P37837	P37837		TALDO1		434556	432966	442914	433046	446255	232700	448174	225222	454975	239161	449639	234276	245022	250913	255983	240394
P38117	P38117		ETFB		201752	207390	202092	207986	210005	321709	207032	308878	211960	320065	216725	331134	329972	323870	331464	329531
P38159	P38159		RBMX		364355	364226	366929	371460	374590	297924	382334	269523	360007	286316	367712	287566	305639	299387	297596	297534
P38432	P38432		COIL		9500.58	9139.21	7526.74	9685.76	8252.35	4044.15	6494.47		8046.15	4807.99	5783.28				1406.24	
P38606	P38606		ATP6V1A		163807	172537	183321	161570	171985	111546	181792	106673	163040	137030	184500	94847.3	117216	120715	123206	117922
P38646	P38646		HSPA9		678212	670498	675603	676479	651635	526438	666349	529586	663542	557149	641564	540854	548167	560720	540973	555406
P38919	P38919		EIF4A3		151174	145488	146033	146869	148767	127522	148750	125134	146148	125484	149148	130733	129444	129733	134445	128258
P39019	P39019		RPS19		391137	382927	398160	383334	378622	549201	403163	498267	396746	494846	392929	510345	560996	559412	564810	576570
P39023	P39023		RPL3		378987	368458	373268	386870	357561	427350	386552	402271	361052	399440	382655	390851	422612	425302	418442	414356
P39656	P39656		DDOST		25422	25106.4	19999	22597.3	28661.9	175985	30744.5	175512	25660.6	195227	27523.8	182001	166467	177424	184181	179522
P39687	P39687		ANP32A		548432	531336	531244	546086	547764	646675	525230	636596	532837	627811	511264	643549	640834	614813	591546	629759
P39748	P39748		FEN1		273206	258519	240869	248509	249726	406204	246395	385394	243386	374712	213396	391704	396674	399509	390256	399285
P40121	P40121		CAPG		26337.6	12519	38595.6	22914.9	23342.8	155246	24819.3	140692	39743.5	157841	42767.5	153478	164524	169380	179899	179636
P40145	P40145		ADCY8									287172			285951	318324				
P40227	P40227		CCT6A		648694	653881	629624	647099	646543	286297	647971	275851	644555	288584	639299	273593	276078	277001	296550	287363
P40261	P40261		NNMT			79042.9			75447.9	221774		213935	75419.1	224377	79376.1	226166	237715	243175	230345	237946
P40429	P40429		RPL13A		349699	332779	336880	345232	288107	415314	366596	438830	336165	432525	342624	387064	414013	441907	442389	456344
P40616	P40616		ARL1		33897.3	27387	26866.7	35285	30449.1		27247.8		28227.9	10835.9	28601.8			9540.55	11788.2	9555.88
P40925	P40925		MDH1		464731	469906	466778	502831	489055	413851	462097	425087	476050	421914	487114	418315	435740	418343	442354	431144
P40926	P40926		MDH2		1.51548e+06	1.54574e+06	1.48613e+06	1.55173e+06	1.52298e+06	484647	1.48616e+06	493475	1.49087e+06	484342	1.5407e+06	498406	511994	494525	520601	499264
P40937	P40937		RFC5		34688.9	24810	36163.9	24650.5	19723.9	29547	38137.5	28212.7	42100.8	22895.6	43230.6	25158.3	42413.5	41354.1	39859.8	38950.3
P40938	P40938		RFC3		18273.2	19351.1	17292.6	18758.5	17784.6	14112.5	17741.4	17212.7	17367.3	13923.8	17732.3	17893.1	13474.8	14184.3	15309.2	17911.6
P40939	P40939		HADHA		107531	107872	108766	107818	106881	121182	109922	114932	108800	120906	113896	122987	121500	125104	121237	121321
P41091	P41091		EIF2S3		258936	254488	253998	251890	253761	352684	245612	349193	258357	350584	248824	344106	369344	359846	375597	350663
